wds_id,discov#,comp,first,last,obs,pa_first,pa_last,sep_first,sep_last,mag1,mag2,spectr,pm1_ra,pm1_dec,pm2_ra,pm2_dec,notes,coord_arcsec_2000
06116-4025,COO 34,,1897,2015,14,41,41,5.0,5.0,8.98,10.22,K1III,-42,-61,-5,-25,,061137.52-402453.5
07216-5521,R 75,AB,1882,2015,10,268,273,5.1,5.0,10.43,11.28,F3III+F2V,-6,-4,-7,-3,NT,072134.44-552052.6
10312-4609,COO 105,,1897,2015,15,327,309,7.1,5.0,10.09,10.43,K5,9,17,,,,103112.82-460907.5
12360-3307,HJ 4532,,1834,2015,14,265,267,4.0,5.0,9.55,10.22,G6/8III,-2,-5,-2,-3,V,123559.82-330644.5
13553-6610,HJ 4622,,1835,2015,11,262,260,3.0,5.0,9.90,10.88,F5/6V,-35,-19,-34,-17,T,135520.69-660934.9
15241-7513,HJ 4751,,1835,2015,18,119,119,4.0,5.0,8.74,8.91,A2V+A2V,-20,-6,-14,-11,N,152400.23-751242.6
11460-5805,R 179,AB,1871,2015,12,175,176,5.1,5.1,9.24,9.38,B2/3Vn,-9,2,-7,4,,114602.56-580508.4
09413-5109,HJ 4235,AB,1835,2015,17,87,87,3.0,5.2,9.06,9.13,F8/G0V,-74,36,-82,38,,094114.54-510929.0
09359-6717,I 360,,1892,2015,15,180,187,5.7,5.3,8.68,10.23,G8(III),-49,-10,-51,-35,,093554.65-671649.1
10374-5837,HJ 4338,AB,1834,2015,15,92,91,3.0,5.3,8.23,8.90,O5,-10,7,,,N,103722.27-583722.8
07229+3413,HJ 757,,1827,2015,20,120,108,3.5,5.4,10.09,10.55,A2,-3,-12,-5,-7,N,072247.09+341523.6
08498-5401,HJ 4145,,1837,2015,12,257,256,4.0,5.4,9.38,10.14,B9IV,-4,12,-10,7,,084945.51-540117.9
09258-4528,CPO 262,,1898,2015,10,251,256,5.3,5.5,10.40,12.20,A3,13,4,,,,092547.20-452753.7
11172-7653,HJ 4424,AB,1837,2015,14,351,354,12.0,5.5,9.42,9.85,G5/K0,-21,17,-21,-3,L,111710.31-765311.3
06046+3358,SKF2628,,1900,2015,11,106,104,5.7,5.6,10.70,12.20,A0V,-5,0,,,V,060438.65+335730.0
08508-5407,HJ 4148,,1837,2015,12,106,111,4.0,5.6,8.15,9.95,A2V,-20,17,-10,8,,085047.09-540646.6
12003-3644,HJ 4487,,1835,2015,18,128,125,3.0,5.6,9.18,9.75,A2IV/V,-19,-6,-21,-4,V,120015.42-364446.9
13108-5304,COO 150,,1892,2015,13,233,227,5.5,5.6,9.36,10.36,G5,-15,3,-11,4,T,131048.25-530343.4
14022-6701,GLI 198,AB,1852,2015,13,350,356,8.2,5.6,9.48,9.79,A5/7IV/V,-21,-13,-20,-19,V,140212.80-670114.2
11537+0331,HJ 1203,,1828,2015,17,315,316,3.0,5.7,10.20,10.93,K0,-73,-226,-71,-224,V,115332.83+033059.7
15581-6545,R 268,AB,1881,2015,13,158,159,5.7,5.7,9.19,10.13,A3,-14,-28,-18,-28,,155803.93-654445.4
11054-6055,HRG 55,,1883,2015,14,163,150,5.5,5.8,9.97,10.46,G5,-97,47,-97,48,V,110525.16-605435.4
07413-2020,HLD 91,,1882,2015,14,225,239,1.5,5.9,8.63,10.56,K1III:,3,5,,,,074116.24-202001.9
11290-6334,COO 124,AB,1882,2015,16,262,262,4.7,5.9,9.38,10.11,A1V,-18,-4,-29,-6,,112858.32-633357.6
11412+7753,MLR 528,,1900,2015,10,234,239,6.0,5.9,9.40,11.80,K0III,5,-5,3,-8,,114110.31+775256.9
11487-6134,R 9001,,1882,2015,18,327,325,5.1,5.9,8.85,9.96,A+G5/K0,-1,0,-1,0,N,114841.50-613351.0
14278+0007,BAL1172,,1894,2015,13,205,198,5.6,5.9,9.40,12.18,F8,-31,9,-28,-3,N,142746.22+000634.0
06516-0121,BAL 349,,1892,2015,11,80,80,6.4,6.1,10.49,12.15,F8,1,-2,2,-5,N,065127.85-012216.0
07434-2207,HJ 3995,,1837,2010,12,250,255,5.0,6.2,8.97,10.00,B8II/III,3,10,,,,074326.55-220710.2
08191-5016,HJ 4082,,1835,2015,13,266,266,2.5,6.2,9.90,9.93,A7IV,-12,7,-12,8,V,081906.80-501619.0
06080+2927,HJ 718,,1827,2015,12,160,160,1.9,6.5,9.80,11.00,,-16,-19,-17,-37,,060741.92+294348.5
15044-4945,HJ 4726,,1835,2015,13,98,99,3.5,6.6,9.78,10.01,A3/5II/,-16,-17,-16,-16,NV,150422.39-494432.6
11598+6540,WFC 120,,1893,2015,10,282,283,7.3,6.7,10.30,11.16,,-16,12,-16,7,,115945.84+654019.0
10082-5446,COO 98,,1892,2015,16,111,112,7.0,6.8,9.34,10.42,G2/5V,-97,40,-91,36,V,100816.24-544617.4
10138-6542,HJ 4301,,1835,2015,19,20,25,5.0,6.8,8.37,8.67,B9/A0IV/V,-6,7,-8,7,,101348.42-654223.5
06131-2549,SEE 64,,1897,2015,11,68,109,8.4,6.9,9.61,11.40,F6/8V,1,-36,35,-80,,061308.20-254830.7
13314-6907,I 364,,1894,2015,12,214,213,6.6,6.9,8.74,11.20,A0V,-8,-4,-13,-16,,133125.72-690727.3
06328+0838,DAM1158,,1898,2015,12,227,224,7.1,7.0,10.00,12.10,F5,2,-9,15,-10,,063250.09+083759.6
11223-5937,HRG 57,,1883,2015,12,255,256,6.5,7.1,9.97,10.69,A,-6,2,-4,2,,112220.34-593641.3
07209-4831,HJ 3956,,1835,2010,14,164,166,6.0,7.2,8.39,9.50,B9.5V,-7,17,-4,5,N,072051.80-483050.8
08112-6430,HJ 4071,,1836,2015,15,203,208,7.5,7.3,9.51,9.97,F(7)(IV),-19,4,-24,3,,081112.06-643023.2
08259-3934,HJ 4092,,1835,2015,11,205,210,10.0,7.3,10.07,10.99,A0V,-4,19,0,19,L,082554.33-393354.2
08276-5020,HJ 4101,,1834,2015,11,229,234,4.0,7.3,9.60,9.81,A1V,-10,4,-11,7,T,082733.02-501955.9
08519-6341,HJ 4152,,1835,2015,13,339,340,6.0,7.3,9.21,10.78,G2w,-88,-22,-77,-17,V,085152.63-634052.4
12003-6122,HJ 4488,,1834,2015,15,141,137,6.0,7.3,8.15,9.82,B8/9III,-14,4,-10,-4,,120018.06-612204.1
07438-3952,GLI 71,,1852,2015,16,12,9,8.6,7.5,8.49,9.28,ApSi,-14,8,-16,12,,074346.17-395228.9
09599-6025,LPO 25,,1894,2015,10,216,216,7.7,7.5,9.87,10.42,F0,-35,20,-36,19,T,095955.09-602433.1
11017-5716,HJ 4398,AB,1835,2015,12,253,251,8.0,7.6,8.85,10.24,A1III,-13,2,-12,1,V,110141.93-571550.5
09397-4140,HJ 4231,"A,BC",1837,2015,11,205,212,12.0,7.8,8.83,9.38,F8,40,11,11,1,,093940.98-413927.1
11422-5858,HJ 4466,,1834,2015,11,318,311,4.0,7.8,11.00,11.40,A7,-8,-2,-20,-2,,114212.07-585806.2
