Epoch,PA,σ_PA,Sep,σ_Sep,Mag_pri,σ_Mag_pri,Mag_sec,σ_Mag_sec,λ (nm),Δλ,n,N,Discoverer,Instrument,Note,Orbit Grade
1898.43,197.7,,8.372,,,,,,,,0.3,1,WFC1998,Pa,,6
1903.5,200.5,,8.576,,,,,,,,0.3,1,WFC1998,Pa,,6
1964.5,199.9,,7.652,,,,,,,,0.2,1,WFC1983a,Pa,,6
1991.25,202,,7.864,,8.784,0.007,10.042,0.018,511,222,0.3,1,HIP1997a,Hh,,5
1991.25,,,,,8.753,0.035,9.669,0.057,530,100,0.3,1,TYC1997,Ht,,7
1991.25,,,,,9.324,0.037,10.52,0.078,430,90,0.3,1,TYC1997,Ht,,7
1991.54,201.4,,7.899,,8.742,0.016,9.709,0.033,530,100,0.3,1,TYC2000c,Ht,,5
1991.54,,,,,9.414,0.022,10.559,0.045,430,90,0.3,1,TYC2000c,Ht,,7
1998.416,202.1,0.4,7.937,0.098,9.3,0.05,9.32,0.07,609,70,0.2,6,UC_2013b,Eu,,7
1999.51,201.5,,7.89,,7.499,0.024,8.396,0.021,1256,245,1.3,1,TMA2003,E2,,7
1999.51,,,,,7.24,0.027,7.982,0.027,1633,160,1.3,1,TMA2003,E2,,7
1999.51,,,,,7.166,0.018,7.935,0.02,2210,300,1.3,1,TMA2003,E2,,7
2015,202.515,,7.777,,8.476,,9.632,,673,440,1,1,Kpp2018m,Hg,,7
2015.5,202.515,0,7.77528,5.00E-05,9.227,,10.274,,673,440,1,1,Kpp2019a,Hg,,7
2015.5,,,7.7753,,8.519,,9.681,,584,436,1,1,Tia2020,Hg,,7
2026.191,201.58,0.17,7.69,0.05,,,,,,,,,,,,
